id,warehouse_block,mode_of_shipment,customer_care_calls,customer_rating,cost_of_shipping,prior_purchases,product_importance,gender,discount_offered(%),weight_in_gms,reached.on.time_y.n,customer_rating_category,on_time(str),loyalty_category
3166,B,Flight,3,1,178,3,low,male,3,4811,0,Very dissatisfied,on time,Low Loyal
3167,C,Flight,4,1,273,3,medium,male,5,5055,0,Very dissatisfied,on time,Low Loyal
3168,E,Flight,3,2,129,3,high,male,9,4342,1,Dissatisfied,delayed,Low Loyal
3169,D,Ship,3,1,273,6,low,female,9,1198,1,Very dissatisfied,delayed,Moderate Loyal
3170,E,Ship,6,3,161,4,medium,male,8,1247,0,Neutral,on time,Moderate Loyal
3171,A,Ship,4,5,139,3,low,female,3,5824,1,Very Satisfied,delayed,Low Loyal
3172,B,Ship,3,2,136,2,high,female,6,4002,1,Dissatisfied,delayed,Low Loyal
3173,C,Ship,4,4,172,3,medium,female,1,4201,0,Satisfied,on time,Low Loyal
3174,E,Ship,4,2,272,3,high,male,7,5927,0,Dissatisfied,on time,Low Loyal
3175,D,Ship,3,2,207,3,high,female,3,4909,1,Dissatisfied,delayed,Low Loyal
3176,E,Ship,2,3,134,3,low,male,6,4444,1,Neutral,delayed,Low Loyal
3177,A,Ship,3,2,238,8,medium,male,3,4388,1,Dissatisfied,delayed,High Loyal
3178,B,Ship,2,1,274,10,high,female,1,5622,0,Very dissatisfied,on time,High Loyal
3179,C,Ship,4,3,237,6,low,male,8,5588,0,Neutral,on time,Moderate Loyal
3180,E,Ship,3,2,153,10,high,female,7,5305,0,Dissatisfied,on time,High Loyal
3181,D,Ship,4,2,223,3,low,male,7,4026,1,Dissatisfied,delayed,Low Loyal
3182,E,Ship,3,5,149,3,low,female,9,5412,0,Very Satisfied,on time,Low Loyal
3183,A,Ship,3,3,132,3,low,male,6,5721,1,Neutral,delayed,Low Loyal
3184,B,Ship,4,3,246,3,low,female,5,4710,0,Neutral,on time,Low Loyal
3185,C,Ship,4,3,159,5,low,male,4,4666,1,Neutral,delayed,Moderate Loyal
3186,E,Ship,3,3,162,8,high,female,10,4842,0,Neutral,on time,High Loyal
3187,D,Ship,3,1,123,5,medium,female,10,4231,0,Very dissatisfied,on time,Moderate Loyal
3188,E,Ship,5,5,231,7,high,male,6,5755,0,Very Satisfied,on time,High Loyal
3189,A,Ship,3,3,213,10,medium,male,2,4847,0,Neutral,on time,High Loyal
3190,B,Ship,5,1,160,3,high,male,2,5141,1,Very dissatisfied,delayed,Low Loyal
3191,C,Ship,4,3,225,5,low,male,8,4195,0,Neutral,on time,Moderate Loyal
3192,E,Ship,3,5,178,3,low,female,3,5540,0,Very Satisfied,on time,Low Loyal
3193,D,Ship,4,5,273,3,medium,male,2,4374,0,Very Satisfied,on time,Low Loyal
3194,E,Ship,3,3,129,3,high,male,7,5197,1,Neutral,delayed,Low Loyal
3195,A,Ship,3,1,273,6,low,male,1,1293,0,Very dissatisfied,on time,Moderate Loyal
3196,B,Ship,6,4,161,4,medium,male,3,1747,1,Satisfied,delayed,Moderate Loyal
3197,C,Ship,5,2,206,4,low,male,5,1149,0,Dissatisfied,on time,Moderate Loyal
3198,E,Ship,4,5,296,2,medium,male,1,1678,0,Very Satisfied,on time,Low Loyal
3199,D,Ship,3,2,249,5,medium,female,6,1887,0,Dissatisfied,on time,Moderate Loyal
3200,E,Ship,4,4,301,5,low,male,6,1931,0,Satisfied,on time,Moderate Loyal
3201,A,Ship,4,3,296,3,low,male,4,1991,0,Neutral,on time,Low Loyal
3202,B,Ship,3,5,205,4,low,male,2,1648,0,Very Satisfied,on time,Moderate Loyal
3203,C,Ship,3,3,132,2,low,female,9,4355,1,Neutral,delayed,Low Loyal
3204,E,Ship,4,2,223,3,high,male,5,4282,0,Dissatisfied,on time,Low Loyal
3205,D,Ship,3,1,190,3,medium,female,2,4312,0,Very dissatisfied,on time,Low Loyal
3206,E,Ship,5,3,194,3,low,female,1,4331,0,Neutral,on time,Low Loyal
3207,A,Ship,2,4,176,2,medium,female,2,5138,0,Satisfied,on time,Low Loyal
3208,B,Ship,6,4,227,5,medium,female,8,4388,0,Satisfied,on time,Moderate Loyal
3209,C,Ship,5,1,149,2,low,male,9,5435,0,Very dissatisfied,on time,Low Loyal
3210,E,Ship,5,2,173,2,low,male,7,5836,0,Dissatisfied,on time,Low Loyal
3211,D,Ship,3,2,181,2,low,female,6,5410,0,Dissatisfied,on time,Low Loyal
3212,E,Ship,3,5,251,2,low,male,4,4015,0,Very Satisfied,on time,Low Loyal
3213,A,Ship,4,5,243,3,low,female,2,4909,0,Very Satisfied,on time,Low Loyal
3214,B,Ship,3,4,210,3,low,male,10,4398,1,Satisfied,delayed,Low Loyal
3215,C,Ship,5,2,145,4,medium,female,9,4028,0,Dissatisfied,on time,Moderate Loyal
3216,E,Ship,3,1,196,3,low,male,10,4546,0,Very dissatisfied,on time,Low Loyal
3217,D,Ship,3,4,154,2,medium,male,5,5735,1,Satisfied,delayed,Low Loyal
3218,E,Ship,4,1,164,4,low,male,6,4432,1,Very dissatisfied,delayed,Moderate Loyal
3219,A,Ship,4,2,210,3,medium,female,1,4379,1,Dissatisfied,delayed,Low Loyal
3220,B,Ship,5,3,212,2,low,female,7,5219,0,Neutral,on time,Low Loyal
3221,C,Ship,3,1,263,2,medium,male,9,4868,1,Very dissatisfied,delayed,Low Loyal
3222,E,Ship,3,4,155,2,low,male,3,5481,1,Satisfied,delayed,Low Loyal
3223,D,Ship,3,4,223,2,low,male,9,4211,0,Satisfied,on time,Low Loyal
3224,E,Ship,5,4,269,3,low,female,3,4489,0,Satisfied,on time,Low Loyal
3225,A,Ship,3,4,117,3,low,female,6,4046,0,Satisfied,on time,Low Loyal
3226,B,Ship,4,4,151,2,low,male,3,4105,1,Satisfied,delayed,Low Loyal
3227,C,Ship,4,2,271,3,medium,male,4,4743,1,Dissatisfied,delayed,Low Loyal
3228,E,Ship,3,3,205,3,low,male,10,5714,0,Neutral,on time,Low Loyal
3229,D,Ship,5,3,210,5,medium,male,9,5431,1,Neutral,delayed,Moderate Loyal
3230,E,Ship,4,1,133,2,medium,male,8,4277,0,Very dissatisfied,on time,Low Loyal
3231,A,Ship,5,2,215,6,medium,female,5,5195,1,Dissatisfied,delayed,Moderate Loyal
3232,B,Ship,2,3,140,3,low,female,2,4691,0,Neutral,on time,Low Loyal
3233,C,Ship,3,3,255,2,low,male,8,5955,1,Neutral,delayed,Low Loyal
3234,E,Ship,2,5,159,3,low,male,5,4190,0,Very Satisfied,on time,Low Loyal
3235,D,Ship,5,3,169,2,low,male,8,5352,1,Neutral,delayed,Low Loyal
3236,E,Ship,5,4,182,2,medium,male,2,4554,1,Satisfied,delayed,Low Loyal
3237,A,Ship,2,5,231,2,low,female,10,4406,1,Very Satisfied,delayed,Low Loyal
3238,B,Ship,3,4,177,3,low,female,6,4445,0,Satisfied,on time,Low Loyal
3239,C,Ship,4,3,250,3,medium,female,3,5055,1,Neutral,delayed,Low Loyal
3240,E,Ship,4,2,145,3,medium,female,4,5122,1,Dissatisfied,delayed,Low Loyal
3241,D,Ship,2,5,117,3,high,female,2,4268,1,Very Satisfied,delayed,Low Loyal
3242,E,Ship,3,4,170,3,low,male,5,4716,1,Satisfied,delayed,Low Loyal
3243,A,Ship,4,4,173,3,high,female,9,5382,1,Satisfied,delayed,Low Loyal
3244,B,Ship,4,2,232,3,medium,male,8,4658,1,Dissatisfied,delayed,Low Loyal
3245,C,Ship,3,2,231,4,medium,male,4,5510,0,Dissatisfied,on time,Moderate Loyal
3246,E,Ship,3,4,136,3,medium,male,2,4524,1,Satisfied,delayed,Low Loyal
3247,D,Ship,4,1,189,3,medium,male,5,4496,1,Very dissatisfied,delayed,Low Loyal
3248,E,Ship,5,4,222,3,low,male,7,5340,0,Satisfied,on time,Low Loyal
3249,A,Ship,4,3,148,3,high,female,7,5034,1,Neutral,delayed,Low Loyal
3250,B,Ship,5,2,265,2,medium,female,7,5464,1,Dissatisfied,delayed,Low Loyal
3251,C,Ship,4,1,181,2,low,female,3,5877,0,Very dissatisfied,on time,Low Loyal
3252,E,Ship,6,5,189,2,high,male,4,5898,1,Very Satisfied,delayed,Low Loyal
3253,D,Ship,3,2,160,3,medium,female,6,4808,1,Dissatisfied,delayed,Low Loyal
3254,E,Ship,3,3,235,3,medium,female,10,4186,0,Neutral,on time,Low Loyal
3255,A,Ship,3,4,100,3,medium,male,4,4191,0,Satisfied,on time,Low Loyal
3256,B,Ship,5,5,135,4,medium,female,7,5765,1,Very Satisfied,delayed,Moderate Loyal
3257,C,Ship,5,2,137,3,low,male,6,4883,0,Dissatisfied,on time,Low Loyal
3258,E,Ship,4,2,222,3,high,female,9,5337,0,Dissatisfied,on time,Low Loyal
3259,D,Ship,5,1,246,3,medium,female,10,4078,1,Very dissatisfied,delayed,Low Loyal
3260,E,Ship,3,3,202,3,medium,female,8,5486,1,Neutral,delayed,Low Loyal
3261,A,Ship,4,5,273,3,low,female,1,5043,1,Very Satisfied,delayed,Low Loyal
3262,B,Road,5,1,248,2,low,female,9,5881,1,Very dissatisfied,delayed,Low Loyal
3263,C,Road,4,4,199,4,medium,female,5,4194,0,Satisfied,on time,Moderate Loyal
3264,E,Road,4,3,209,3,medium,male,7,4104,1,Neutral,delayed,Low Loyal
3265,D,Road,4,5,216,2,low,male,2,4905,0,Very Satisfied,on time,Low Loyal
3266,E,Road,4,2,227,3,low,male,2,4318,1,Dissatisfied,delayed,Low Loyal
3267,A,Road,3,1,216,4,medium,female,4,4416,0,Very dissatisfied,on time,Moderate Loyal
3268,B,Road,2,3,242,2,medium,female,1,5892,1,Neutral,delayed,Low Loyal
3269,C,Road,5,4,217,3,medium,female,8,4949,1,Satisfied,delayed,Low Loyal
3270,E,Road,2,2,160,3,medium,female,9,4613,0,Dissatisfied,on time,Low Loyal
3271,D,Road,5,3,141,2,medium,male,4,5257,0,Neutral,on time,Low Loyal
3272,E,Road,5,4,263,2,medium,female,5,4595,0,Satisfied,on time,Low Loyal
3273,A,Road,5,4,171,4,low,male,7,5359,1,Satisfied,delayed,Moderate Loyal
3274,B,Road,3,5,195,2,low,female,4,4864,0,Very Satisfied,on time,Low Loyal
3275,C,Road,3,5,237,3,low,male,4,5561,1,Very Satisfied,delayed,Low Loyal
3276,E,Road,2,5,241,4,low,female,4,5693,1,Very Satisfied,delayed,Moderate Loyal
3277,D,Road,3,4,134,3,medium,female,9,4230,1,Satisfied,delayed,Low Loyal
3278,E,Road,5,5,156,3,low,female,5,5398,1,Very Satisfied,delayed,Low Loyal
3279,A,Road,3,4,211,2,low,male,6,6000,0,Satisfied,on time,Low Loyal
3280,B,Road,3,2,243,2,low,female,5,4769,0,Dissatisfied,on time,Low Loyal
3281,C,Road,4,3,196,2,medium,female,7,4116,1,Neutral,delayed,Low Loyal
3282,E,Road,3,3,242,2,medium,female,7,4960,0,Neutral,on time,Low Loyal
3283,D,Road,3,4,175,3,low,female,3,4449,0,Satisfied,on time,Low Loyal
3284,E,Flight,2,2,155,3,low,male,1,5154,0,Dissatisfied,on time,Low Loyal
3285,A,Flight,4,1,200,2,low,female,9,4808,1,Very dissatisfied,delayed,Low Loyal
3286,B,Flight,3,3,191,3,low,male,4,4586,0,Neutral,on time,Low Loyal
3287,C,Flight,4,5,221,3,low,female,6,5895,0,Very Satisfied,on time,Low Loyal
3288,E,Flight,3,1,135,3,low,male,9,4511,0,Very dissatisfied,on time,Low Loyal
3289,D,Flight,3,2,152,4,medium,female,7,5943,1,Dissatisfied,delayed,Moderate Loyal
3290,E,Flight,2,5,172,2,low,male,7,4649,0,Very Satisfied,on time,Low Loyal
3291,A,Flight,5,2,253,2,high,female,2,5643,1,Dissatisfied,delayed,Low Loyal
3292,B,Flight,5,1,270,2,high,male,10,5360,0,Very dissatisfied,on time,Low Loyal
3293,C,Flight,2,4,139,4,high,male,3,5041,0,Satisfied,on time,Moderate Loyal
3294,E,Flight,5,2,257,4,medium,male,9,5088,0,Dissatisfied,on time,Moderate Loyal
3295,D,Flight,4,1,155,3,low,female,5,4283,1,Very dissatisfied,delayed,Low Loyal
3296,E,Flight,3,5,125,2,low,male,5,4933,1,Very Satisfied,delayed,Low Loyal
3297,A,Flight,5,4,233,2,low,female,7,4597,1,Satisfied,delayed,Low Loyal
3298,B,Flight,3,3,205,2,medium,male,6,4989,1,Neutral,delayed,Low Loyal
3299,C,Flight,5,4,243,3,medium,male,4,4420,1,Satisfied,delayed,Low Loyal
3300,E,Flight,4,4,208,3,low,female,10,4919,0,Satisfied,on time,Low Loyal
3301,D,Flight,3,1,230,3,medium,female,6,4392,0,Very dissatisfied,on time,Low Loyal
3302,E,Flight,4,5,205,3,medium,male,5,4949,1,Very Satisfied,delayed,Low Loyal
3303,A,Flight,3,4,170,2,low,female,2,5664,0,Satisfied,on time,Low Loyal
3304,B,Flight,4,2,222,2,medium,male,5,4268,0,Dissatisfied,on time,Low Loyal
3305,C,Flight,5,4,186,2,low,male,3,4213,0,Satisfied,on time,Low Loyal
3306,E,Ship,5,1,208,2,low,female,8,5218,0,Very dissatisfied,on time,Low Loyal
3307,D,Ship,4,3,223,3,medium,female,9,5897,0,Neutral,on time,Low Loyal
3308,E,Ship,5,3,154,2,medium,male,8,4006,0,Neutral,on time,Low Loyal
3309,A,Ship,5,3,235,4,medium,female,10,4011,0,Neutral,on time,Moderate Loyal
3310,B,Ship,4,3,271,3,medium,male,1,4137,0,Neutral,on time,Low Loyal
3311,C,Ship,4,5,250,3,low,female,2,5206,0,Very Satisfied,on time,Low Loyal
3312,E,Ship,4,2,206,2,medium,male,4,5159,0,Dissatisfied,on time,Low Loyal
3313,D,Ship,3,1,153,3,low,male,10,5121,1,Very dissatisfied,delayed,Low Loyal
3314,E,Ship,4,4,212,2,medium,female,6,4117,1,Satisfied,delayed,Low Loyal
3315,A,Ship,6,4,168,2,high,male,6,5686,0,Satisfied,on time,Low Loyal
3316,B,Ship,3,1,171,2,low,male,10,5379,1,Very dissatisfied,delayed,Low Loyal
3317,C,Ship,3,5,132,2,low,male,10,4462,1,Very Satisfied,delayed,Low Loyal
3318,E,Ship,5,3,141,3,low,male,9,4857,0,Neutral,on time,Low Loyal
3319,D,Ship,3,2,254,2,low,male,1,4334,0,Dissatisfied,on time,Low Loyal
3320,E,Ship,4,4,159,2,medium,female,6,5221,0,Satisfied,on time,Low Loyal
3321,A,Ship,2,4,194,2,low,female,4,4803,1,Satisfied,delayed,Low Loyal
3322,B,Ship,4,3,178,6,low,male,6,4203,0,Neutral,on time,Moderate Loyal
3323,C,Ship,3,4,151,3,low,male,2,5712,1,Satisfied,delayed,Low Loyal
3324,E,Ship,5,1,244,2,low,female,5,4125,1,Very dissatisfied,delayed,Low Loyal
3325,D,Ship,3,2,237,3,low,male,8,5287,1,Dissatisfied,delayed,Low Loyal
3326,E,Ship,3,1,241,3,medium,male,9,5184,0,Very dissatisfied,on time,Low Loyal
3327,A,Ship,4,2,156,3,low,male,3,5923,0,Dissatisfied,on time,Low Loyal
3328,B,Ship,4,3,243,3,medium,male,1,5021,0,Neutral,on time,Low Loyal
3329,C,Ship,5,5,219,2,medium,male,4,4289,0,Very Satisfied,on time,Low Loyal
3330,E,Ship,4,5,168,2,high,male,2,5776,0,Very Satisfied,on time,Low Loyal
3331,D,Ship,6,3,224,6,high,male,8,5661,0,Neutral,on time,Moderate Loyal
3332,E,Ship,4,4,216,2,medium,male,2,5840,1,Satisfied,delayed,Low Loyal
3333,A,Ship,3,1,187,5,low,female,6,4698,0,Very dissatisfied,on time,Moderate Loyal
3334,B,Ship,5,3,204,3,high,female,1,4037,1,Neutral,delayed,Low Loyal
3335,C,Ship,6,5,266,5,low,male,10,4140,0,Very Satisfied,on time,Moderate Loyal
3336,E,Ship,3,4,179,2,low,female,2,4931,1,Satisfied,delayed,Low Loyal
3337,D,Ship,3,4,184,3,low,male,10,4776,0,Satisfied,on time,Low Loyal
3338,E,Ship,6,2,204,4,medium,female,2,4431,0,Dissatisfied,on time,Moderate Loyal
3339,A,Ship,3,4,255,2,medium,female,7,4332,1,Satisfied,delayed,Low Loyal
3340,B,Ship,4,1,272,2,medium,female,5,5252,0,Very dissatisfied,on time,Low Loyal
3341,C,Ship,4,3,186,2,low,male,7,4947,1,Neutral,delayed,Low Loyal
3342,E,Ship,5,4,147,4,medium,male,6,4369,0,Satisfied,on time,Moderate Loyal
3343,D,Ship,3,4,145,3,medium,male,4,5361,1,Satisfied,delayed,Low Loyal
3344,E,Ship,5,1,255,3,medium,female,6,5715,0,Very dissatisfied,on time,Low Loyal
3345,A,Ship,3,4,133,2,low,female,7,4663,0,Satisfied,on time,Low Loyal
3346,B,Ship,4,1,155,4,low,female,1,4985,0,Very dissatisfied,on time,Moderate Loyal
3347,C,Ship,4,5,151,4,medium,male,10,4796,0,Very Satisfied,on time,Moderate Loyal
3348,E,Ship,4,2,270,2,high,female,3,4914,1,Dissatisfied,delayed,Low Loyal
3349,D,Ship,3,1,234,4,high,male,6,4942,0,Very dissatisfied,on time,Moderate Loyal
3350,E,Ship,3,5,186,2,medium,male,4,4352,0,Very Satisfied,on time,Low Loyal
3351,A,Ship,4,5,157,2,medium,male,6,5937,0,Very Satisfied,on time,Low Loyal
3352,B,Ship,4,4,268,3,low,male,7,5947,0,Satisfied,on time,Low Loyal
3353,C,Ship,4,3,244,2,low,male,10,4486,1,Neutral,delayed,Low Loyal
3354,E,Ship,4,5,190,3,low,male,2,4554,0,Very Satisfied,on time,Low Loyal
3355,D,Ship,4,4,161,4,low,male,5,5038,0,Satisfied,on time,Moderate Loyal
3356,E,Ship,2,4,162,3,high,female,2,5893,1,Satisfied,delayed,Low Loyal
3357,A,Ship,4,3,163,8,medium,female,6,5739,0,Neutral,on time,High Loyal
3358,B,Ship,3,3,211,6,low,male,5,5777,1,Neutral,delayed,Moderate Loyal
3359,C,Ship,3,4,205,8,medium,male,1,4977,1,Satisfied,delayed,High Loyal
3360,E,Ship,3,5,150,3,medium,female,4,4442,1,Very Satisfied,delayed,Low Loyal
3361,D,Ship,2,5,209,5,medium,female,10,4623,1,Very Satisfied,delayed,Moderate Loyal
3362,E,Ship,5,2,250,3,medium,female,6,5298,0,Dissatisfied,on time,Low Loyal
3363,A,Ship,3,2,206,3,high,female,1,4431,1,Dissatisfied,delayed,Low Loyal
3364,B,Ship,5,2,244,3,low,male,2,4198,0,Dissatisfied,on time,Low Loyal
3365,C,Ship,2,1,180,3,low,male,2,4615,1,Very dissatisfied,delayed,Low Loyal
3366,E,Ship,4,4,256,3,medium,male,1,5784,1,Satisfied,delayed,Low Loyal
3367,D,Ship,5,4,273,3,medium,female,2,5672,1,Satisfied,delayed,Low Loyal
3368,E,Ship,4,1,178,8,medium,female,6,4872,0,Very dissatisfied,on time,High Loyal
3369,A,Ship,4,2,296,2,medium,female,2,1233,0,Dissatisfied,on time,Low Loyal
3370,B,Ship,3,3,249,5,medium,female,9,1752,0,Neutral,on time,Moderate Loyal
3371,C,Ship,4,5,151,4,medium,male,3,5470,0,Very Satisfied,on time,Moderate Loyal
3372,E,Ship,4,3,270,2,high,female,5,5346,0,Neutral,on time,Low Loyal
3373,D,Ship,3,2,234,4,high,female,7,4568,1,Dissatisfied,delayed,Moderate Loyal
3374,E,Ship,3,4,186,2,medium,female,9,5841,0,Satisfied,on time,Low Loyal
3375,A,Ship,4,1,157,2,medium,male,3,5801,0,Very dissatisfied,on time,Low Loyal
3376,B,Ship,4,2,268,3,low,female,3,5488,1,Dissatisfied,delayed,Low Loyal
3377,C,Ship,4,1,244,2,low,female,3,4644,1,Very dissatisfied,delayed,Low Loyal
3378,E,Ship,4,4,190,3,low,male,2,4800,0,Satisfied,on time,Low Loyal
3379,D,Ship,4,2,161,4,low,female,10,5322,0,Dissatisfied,on time,Moderate Loyal
3380,E,Ship,2,2,162,3,high,male,10,4489,1,Dissatisfied,delayed,Low Loyal
3381,A,Ship,4,1,163,8,medium,female,9,5489,1,Very dissatisfied,delayed,High Loyal
3382,B,Ship,3,2,211,6,low,female,2,4417,0,Dissatisfied,on time,Moderate Loyal
3383,C,Ship,3,4,205,8,medium,female,5,4869,1,Satisfied,delayed,High Loyal
3384,E,Ship,3,3,150,3,medium,male,4,5536,0,Neutral,on time,Low Loyal
3385,D,Ship,2,5,209,5,medium,female,9,5565,0,Very Satisfied,on time,Moderate Loyal
3386,E,Ship,5,3,250,3,medium,male,4,4343,0,Neutral,on time,Low Loyal
3387,A,Ship,3,1,206,3,high,female,8,4763,1,Very dissatisfied,delayed,Low Loyal
3388,B,Ship,5,5,244,3,low,male,9,5695,0,Very Satisfied,on time,Low Loyal
3389,C,Ship,2,2,180,3,low,male,2,5033,1,Dissatisfied,delayed,Low Loyal
3390,E,Ship,4,5,256,3,medium,male,10,4504,1,Very Satisfied,delayed,Low Loyal
3391,D,Ship,5,4,273,3,medium,male,6,4044,1,Satisfied,delayed,Low Loyal
3392,E,Ship,4,2,178,8,medium,male,5,4120,1,Dissatisfied,delayed,High Loyal
3393,A,Ship,4,3,296,2,medium,female,9,1523,1,Neutral,delayed,Low Loyal
3394,B,Ship,4,2,275,6,medium,male,2,1712,1,Dissatisfied,delayed,Moderate Loyal
3395,C,Ship,5,5,270,3,low,male,2,4351,1,Very Satisfied,delayed,Low Loyal
3396,E,Ship,6,5,224,4,medium,male,6,4616,0,Very Satisfied,on time,Moderate Loyal
3397,D,Ship,2,4,172,5,low,male,4,4668,0,Satisfied,on time,Moderate Loyal
3398,E,Ship,4,4,176,3,low,female,1,4774,0,Satisfied,on time,Low Loyal
3399,A,Road,6,2,240,4,low,male,9,4099,0,Dissatisfied,on time,Moderate Loyal
3400,B,Road,3,4,213,3,low,female,5,4535,1,Satisfied,delayed,Low Loyal
3401,C,Road,4,2,197,3,low,female,2,5707,0,Dissatisfied,on time,Low Loyal
3402,E,Road,4,5,167,2,low,female,7,4289,1,Very Satisfied,delayed,Low Loyal
3403,D,Road,5,1,180,3,low,female,2,5013,1,Very dissatisfied,delayed,Low Loyal
3404,E,Road,3,1,119,2,low,female,10,4146,1,Very dissatisfied,delayed,Low Loyal
3405,A,Road,5,5,232,4,low,male,3,5447,0,Very Satisfied,on time,Moderate Loyal
3406,B,Road,3,5,139,2,medium,male,7,5536,0,Very Satisfied,on time,Low Loyal
3407,C,Road,3,2,272,3,low,male,2,4459,1,Dissatisfied,delayed,Low Loyal
3408,E,Road,3,2,253,3,low,female,7,4915,0,Dissatisfied,on time,Low Loyal
3409,D,Road,3,2,188,3,low,male,4,5376,0,Dissatisfied,on time,Low Loyal
3410,E,Road,3,4,202,3,medium,male,5,5169,0,Satisfied,on time,Low Loyal
3411,A,Road,3,1,134,3,low,female,7,5802,1,Very dissatisfied,delayed,Low Loyal
3412,B,Road,3,5,110,3,medium,male,3,4252,1,Very Satisfied,delayed,Low Loyal
3413,C,Road,3,2,172,2,low,female,9,4532,1,Dissatisfied,delayed,Low Loyal
3414,E,Road,3,1,188,3,low,male,3,4222,0,Very dissatisfied,on time,Low Loyal
3415,D,Road,3,1,258,4,medium,female,6,5365,1,Very dissatisfied,delayed,Moderate Loyal
3416,E,Road,5,3,234,3,low,male,10,5673,0,Neutral,on time,Low Loyal
3417,A,Road,3,4,148,4,medium,female,9,5301,0,Satisfied,on time,Moderate Loyal
3418,B,Road,5,3,194,4,low,female,2,5396,0,Neutral,on time,Moderate Loyal
3419,C,Road,4,4,266,3,medium,female,2,5413,1,Satisfied,delayed,Low Loyal
3420,E,Road,5,5,158,3,medium,male,7,5559,1,Very Satisfied,delayed,Low Loyal
3421,D,Flight,5,1,228,2,high,male,6,4984,1,Very dissatisfied,delayed,Low Loyal
3422,E,Flight,4,5,159,2,low,male,1,5671,0,Very Satisfied,on time,Low Loyal
3423,A,Flight,3,4,255,4,low,male,10,4107,0,Satisfied,on time,Moderate Loyal
3424,B,Flight,3,4,213,3,low,female,4,5481,1,Satisfied,delayed,Low Loyal
3425,C,Flight,3,4,148,2,low,female,5,4693,1,Satisfied,delayed,Low Loyal
3426,E,Flight,4,5,219,3,medium,male,6,5957,1,Very Satisfied,delayed,Low Loyal
3427,D,Flight,3,5,168,5,medium,male,9,5731,1,Very Satisfied,delayed,Moderate Loyal
3428,E,Flight,4,3,148,5,medium,female,6,4802,0,Neutral,on time,Moderate Loyal
3429,A,Flight,3,4,149,3,low,female,5,5467,0,Satisfied,on time,Low Loyal
3430,B,Flight,3,5,245,6,high,male,9,4793,0,Very Satisfied,on time,Moderate Loyal
3431,C,Flight,3,1,200,2,medium,male,10,5178,1,Very dissatisfied,delayed,Low Loyal
3432,E,Flight,3,1,228,3,medium,male,9,5530,0,Very dissatisfied,on time,Low Loyal
3433,D,Flight,4,1,175,4,low,male,2,4053,0,Very dissatisfied,on time,Moderate Loyal
3434,E,Flight,3,3,201,3,low,male,9,5895,1,Neutral,delayed,Low Loyal
3435,A,Flight,4,3,267,4,low,male,7,5140,0,Neutral,on time,Moderate Loyal
3436,B,Flight,3,4,217,2,medium,female,9,5450,0,Satisfied,on time,Low Loyal
3437,C,Flight,2,3,160,2,high,male,3,4409,0,Neutral,on time,Low Loyal
3438,E,Flight,4,4,264,3,low,female,2,4279,1,Satisfied,delayed,Low Loyal
3439,D,Flight,3,1,179,3,high,male,5,5898,1,Very dissatisfied,delayed,Low Loyal
3440,E,Flight,4,5,259,3,medium,male,10,4921,1,Very Satisfied,delayed,Low Loyal
3441,A,Flight,4,5,178,2,high,male,5,5403,0,Very Satisfied,on time,Low Loyal
3442,B,Flight,3,2,242,5,medium,male,6,4694,0,Dissatisfied,on time,Moderate Loyal
3443,C,Ship,4,4,235,2,low,male,4,5671,0,Satisfied,on time,Low Loyal
3444,E,Ship,4,1,247,2,medium,female,7,5098,0,Very dissatisfied,on time,Low Loyal
3445,D,Ship,2,2,240,5,low,male,7,4138,1,Dissatisfied,delayed,Moderate Loyal
3446,E,Ship,3,1,252,2,low,male,4,5559,0,Very dissatisfied,on time,Low Loyal
3447,A,Ship,5,4,237,2,low,male,8,5600,1,Satisfied,delayed,Low Loyal
3448,B,Ship,4,2,161,3,low,female,4,5947,0,Dissatisfied,on time,Low Loyal
3449,C,Ship,2,3,144,4,low,female,10,4075,0,Neutral,on time,Moderate Loyal
3450,E,Ship,4,1,163,4,medium,male,2,5432,1,Very dissatisfied,delayed,Moderate Loyal
3451,D,Ship,4,3,246,3,low,female,5,5118,0,Neutral,on time,Low Loyal
3452,E,Ship,3,2,213,3,medium,male,10,5993,1,Dissatisfied,delayed,Low Loyal
3453,A,Ship,5,1,123,2,low,female,9,5497,0,Very dissatisfied,on time,Low Loyal
3454,B,Ship,4,3,192,3,low,male,1,4045,1,Neutral,delayed,Low Loyal
3455,C,Ship,4,4,149,3,low,female,8,5658,1,Satisfied,delayed,Low Loyal
3456,E,Ship,5,3,206,4,high,female,1,4583,0,Neutral,on time,Moderate Loyal
3457,D,Ship,6,4,243,6,low,male,8,5218,0,Satisfied,on time,Moderate Loyal
3458,E,Ship,4,5,136,3,low,female,1,4585,1,Very Satisfied,delayed,Low Loyal
3459,A,Ship,4,1,170,2,medium,female,5,5182,0,Very dissatisfied,on time,Low Loyal
3460,B,Ship,2,4,180,2,low,female,8,4321,1,Satisfied,delayed,Low Loyal
3461,C,Ship,3,5,220,2,low,female,1,5663,0,Very Satisfied,on time,Low Loyal
3462,E,Ship,3,3,144,2,low,male,6,5994,1,Neutral,delayed,Low Loyal
3463,D,Ship,3,4,271,2,medium,male,6,4218,0,Satisfied,on time,Low Loyal
3464,E,Ship,4,4,186,2,medium,female,9,4887,1,Satisfied,delayed,Low Loyal
3465,A,Ship,2,5,247,4,medium,male,4,5255,1,Very Satisfied,delayed,Moderate Loyal
